image,rule_group,whiteness,edge,color,horizontal,texture
E:\RC11\term 2\draft\3.1\G1_structural_design\3033e9d12c.jpg,1,0.749008238,0.196365833,0.004106865,0.501603603,0.004023788
E:\RC11\term 2\draft\3.1\G1_structural_design\3190c96854.jpg,1,0.850753665,0.116666317,0.006206992,0.523533225,0.001779167
E:\RC11\term 2\draft\3.1\G1_structural_design\329debacc1.jpg,1,0.906425536,0.090087093,0.001391849,0.469993532,0.000950561
E:\RC11\term 2\draft\3.1\G1_structural_design\34a016b701.jpg,1,0.88435626,0.08839123,0.004720709,0.527502298,0.001390681
E:\RC11\term 2\draft\3.1\G1_structural_design\355146e357.jpg,1,0.851678073,0.139719054,0.003141137,0.560906053,0.001978758
E:\RC11\term 2\draft\3.1\G1_structural_design\35fc037584.jpg,1,0.843007684,0.115095653,0.001919218,0.508256555,0.003280133
E:\RC11\term 2\draft\3.1\G1_structural_design\3664ca798e.jpg,1,0.880506754,0.132201448,0.002562905,0.488621563,0.001332564
E:\RC11\term 2\draft\3.1\G1_structural_design\38e1357402.jpg,1,0.888181686,0.066339359,0.001194936,0.49297893,0.000559079
E:\RC11\term 2\draft\3.1\G1_structural_design\39053c53a1.jpg,1,0.791385353,0.189958006,0.020168297,0.521153986,0.003603698
E:\RC11\term 2\draft\3.1\G1_structural_design\3966ffd7c4.jpg,1,0.788033485,0.214451551,0.002126086,0.523545682,0.00447724
E:\RC11\term 2\draft\3.1\G1_structural_design\39ea2bf02a.jpg,1,0.84659934,0.128008455,0.003243557,0.502602577,0.004650751
E:\RC11\term 2\draft\3.1\G1_structural_design\3a624e1e01.jpg,1,0.837980688,0.118086241,0.002052221,0.528900027,0.003326136
E:\RC11\term 2\draft\3.1\G1_structural_design\3b1c454121.jpg,1,0.789864898,0.121348977,0.001370124,0.528227627,0.001070786
E:\RC11\term 2\draft\3.1\G1_structural_design\3c342cb9b6.jpg,1,0.894602358,0.101504028,0.002667509,0.525987446,0.00104296
E:\RC11\term 2\draft\3.1\G1_structural_design\3d7aa8d12b.jpg,1,0.857045054,0.18749027,0.003383096,0.540282428,0.006686069
E:\RC11\term 2\draft\3.1\G1_structural_design\3dfcc09b89.jpg,1,0.637540996,0.096972011,0.019166451,0.523891389,0.001568547
